hs_object_id,domain,name,reason
429668552931,marveti.com,MARVETI,SaaS/naujienlaiškis/atsitiktinis domenas
429668704452,mavenlabs.lt,MavenLabs,SaaS/naujienlaiškis/atsitiktinis domenas
429710830809,e-stelaze.pl,,be pavadinimo (auto iš domeno)
429710892256,odoo.com,Odoo,SaaS/naujienlaiškis/atsitiktinis domenas
429710842058,perfektowood.lt,,be pavadinimo (auto iš domeno)
429668584651,the-lavish-designs.com,The Lavish Designs,SaaS/naujienlaiškis/atsitiktinis domenas
429668564215,wordfence.com,Wordfence,SaaS/naujienlaiškis/atsitiktinis domenas
429668704463,notas-it.com,NOTAS IT,SaaS/naujienlaiškis/atsitiktinis domenas
429710927035,vip.163.com,,SaaS/naujienlaiškis/atsitiktinis domenas
429668584654,botis.co,Botis,SaaS/naujienlaiškis/atsitiktinis domenas
429710872792,arpico.com,ArpicoSupercentre,SaaS/naujienlaiškis/atsitiktinis domenas
429710859481,fastspring.com,FastSpring,SaaS/naujienlaiškis/atsitiktinis domenas
429710768345,vpt.lt,,be pavadinimo (auto iš domeno)
429668584657,mbcentras.lt,,be pavadinimo (auto iš domeno)
429710892275,yithemes.com,YITH,SaaS/naujienlaiškis/atsitiktinis domenas
429710830827,elextensions.com,Elex,SaaS/naujienlaiškis/atsitiktinis domenas
429710872802,agnetgroup.com,,be pavadinimo (auto iš domeno)
429710900433,nemunobaldai.lt,,be pavadinimo (auto iš domeno)
429668671686,digitalad.lt,Digital AD,SaaS/naujienlaiškis/atsitiktinis domenas
429710872806,gilbra.lt,,be pavadinimo (auto iš domeno)
429668705516,keika.ai,Keika,SaaS/naujienlaiškis/atsitiktinis domenas
429710872807,ogmios.lt,,be pavadinimo (auto iš domeno)
429710842083,sandorius.lt,,be pavadinimo (auto iš domeno)
429668706498,cnlatam.cn,,SaaS/naujienlaiškis/atsitiktinis domenas
429710830836,nimt.ai,Nimt,SaaS/naujienlaiškis/atsitiktinis domenas
429710900445,interia.eu,,SaaS/naujienlaiškis/atsitiktinis domenas
429710872813,agmamito.com,Agmamito,SaaS/naujienlaiškis/atsitiktinis domenas
429668734190,mokymuprogramos.lt,Atverta Diena,SaaS/naujienlaiškis/atsitiktinis domenas
429668565194,go-loud.lt,GoLoud,SaaS/naujienlaiškis/atsitiktinis domenas
429668718803,bithub.lt,BITHUB,SaaS/naujienlaiškis/atsitiktinis domenas
429668565195,tumedia.lt,tumedia.lt -,SaaS/naujienlaiškis/atsitiktinis domenas
429668734201,appsdeveloper.in,,SaaS/naujienlaiškis/atsitiktinis domenas
429710860492,collaboffer.com,CollabOffer,SaaS/naujienlaiškis/atsitiktinis domenas
429668671708,theappsdeveloper.com,,SaaS/naujienlaiškis/atsitiktinis domenas
429710927075,ltadvert.lt,LT Advert,SaaS/naujienlaiškis/atsitiktinis domenas
429710917841,wf.sleepinformation.org,,SaaS/naujienlaiškis/atsitiktinis domenas
429710831815,myiict.com,International Institute for Complementary Therapists,SaaS/naujienlaiškis/atsitiktinis domenas
429668735163,epslt.atlassian.net,,SaaS/naujienlaiškis/atsitiktinis domenas
429710860503,sense8.eu,Sense8 Digital Technology,SaaS/naujienlaiškis/atsitiktinis domenas
429668639969,kata.lt,Kata,SaaS/naujienlaiškis/atsitiktinis domenas
429668639970,admixeradvertising.com,Admixer Advertising,SaaS/naujienlaiškis/atsitiktinis domenas
429710860506,irankis.lt,,be pavadinimo (auto iš domeno)
429710842099,delvedeeper.com,DELVE,SaaS/naujienlaiškis/atsitiktinis domenas
