Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Regular price,Categories,Tags,Images,Parent,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
variable,SOFIA,"Minkšta lova „Sofia“",1,0,visible,"Minkšta lova „Sofia“ — aptraukta švelniu Maya audiniu, keturi dydžiai nuo 140x200 iki 200x200 cm. Pagaminta Lenkijoje.","Minkšta lova „Sofia“ derina paprastą, šiuolaikišką dizainą su praktiškumu. Lova aptraukta minkštu Maya audiniu (06 atspalvis) — kitus atspalvius iš „Sofia“ paletės galima užsisakyti mūsų salonuose. Galimi dydžiai: 140x200, 160x200, 180x200, 200x200 cm. Lovą galite apžiūrėti mūsų salonuose Vilniuje (PC Baldų Rojus), Klaipėdoje (PC Helios) ir Ukmergėje (Kauno g. 9).",taxable,,1,,0,0,,Lovos,"lova, minkšta lova, Sofia",,,0,Dydis,"140x200, 160x200, 180x200, 200x200",1,1,140x200,Audinys,Maya 06,1,1
variation,SOFIA-140,"Minkšta lova „Sofia“ – 140x200",1,0,visible,,,taxable,,1,,0,0,805,,,,SOFIA,1,Dydis,140x200,1,1,,,,,
variation,SOFIA-160,"Minkšta lova „Sofia“ – 160x200",1,0,visible,,,taxable,,1,,0,0,845,,,,SOFIA,2,Dydis,160x200,1,1,,,,,
variation,SOFIA-180,"Minkšta lova „Sofia“ – 180x200",1,0,visible,,,taxable,,1,,0,0,885,,,,SOFIA,3,Dydis,180x200,1,1,,,,,
variation,SOFIA-200,"Minkšta lova „Sofia“ – 200x200",1,0,visible,,,taxable,,1,,0,0,925,,,,SOFIA,4,Dydis,200x200,1,1,,,,,
